,Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),Gender_Male,Workout_Type_HIIT,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga
0,56,53.8,1.62,163.0,149.0,71.0,1.01,22.1,3.5,3,1,20.4,9.5,0.8478260869565217,8.054347826086957,437.7,False,True,False,False,False
1,46,54.9,1.75,170.0,126.0,73.0,0.25,19.9,3.4,3,0,18.0,3.0,0.5463917525773195,1.6391752577319587,22.5,True,False,False,False,True
2,32,68.5,1.61,190.0,171.0,60.0,0.33,20.4,2.7,3,1,26.5,9.5,0.8538461538461538,8.111538461538462,183.4,False,True,False,False,False
3,25,98.8,1.86,189.0,135.0,69.0,0.78,30.3,4.4,3,0,28.5,3.0,0.55,1.65,127.2,True,False,False,False,True
4,38,95.5,1.71,176.0,138.0,66.0,0.55,23.7,2.2,2,0,32.5,7.0,0.6545454545454545,4.581818181818182,240.7,True,False,False,False,False
5,56,47.4,1.62,163.0,124.0,77.0,0.75,28.7,3.7,5,1,18.1,3.0,0.5465116279069767,1.63953488372093,58.3,False,False,False,False,True
6,36,71.1,1.62,183.0,136.0,78.0,0.41,25.5,3.3,2,0,27.1,3.0,0.5523809523809524,1.6571428571428573,48.3,False,False,False,False,True
7,40,72.5,1.63,176.0,137.0,63.0,0.52,18.3,2.7,3,1,27.3,7.0,0.6548672566371682,4.5840707964601775,172.8,False,False,False,False,False
8,28,71.6,1.82,191.0,164.0,83.0,0.78,26.5,4.2,2,0,21.7,8.0,0.75,6.0,335.1,True,False,True,False,False
9,28,49.0,1.55,199.0,166.0,66.0,0.67,21.3,3.7,4,1,20.3,8.0,0.7518796992481203,6.015037593984962,197.5,False,False,True,False,False
10,41,51.2,1.61,179.0,126.0,62.0,1.07,14.5,3.8,7,3,19.7,3.0,0.5470085470085471,1.6410256410256412,89.9,True,False,False,False,True
11,53,57.7,1.62,161.0,140.0,77.0,0.44,28.7,3.5,3,0,21.9,8.0,0.75,6.0,152.3,True,False,True,False,False
12,57,69.9,1.68,163.0,135.0,70.0,0.43,27.6,2.8,4,1,24.8,6.0,0.6989247311827957,4.193548387096774,126.0,True,False,False,True,False
13,41,80.4,1.65,168.0,142.0,63.0,1.0,20.9,4.6,6,2,29.4,8.0,0.7523809523809524,6.019047619047619,483.9,False,False,True,False,False
14,20,66.6,1.53,205.0,186.0,75.0,0.65,37.7,3.0,3,0,28.4,9.5,0.8538461538461538,8.111538461538462,351.1,False,True,False,False,False
15,39,48.4,1.64,175.0,143.0,69.0,0.97,27.0,3.6,4,1,18.0,6.0,0.6981132075471698,4.188679245283018,196.7,False,False,False,True,False
16,19,58.1,1.67,202.0,171.0,76.0,0.48,25.5,4.4,2,0,20.8,8.0,0.753968253968254,6.031746031746032,168.2,True,False,True,False,False
17,41,76.4,1.62,180.0,149.0,76.0,0.25,28.3,2.8,2,0,29.2,6.0,0.7019230769230769,4.211538461538462,80.4,True,False,False,True,False
18,47,64.4,1.75,169.0,136.0,57.0,1.39,9.0,3.9,7,3,21.1,6.0,0.7053571428571429,4.232142857142858,378.8,False,False,False,True,False
19,55,74.6,1.77,171.0,149.0,81.0,0.56,24.7,4.3,3,0,23.8,8.0,0.7555555555555555,6.044444444444444,252.5,True,False,True,False,False
20,19,50.3,1.67,205.0,184.0,66.0,0.44,16.1,2.5,5,1,18.0,9.5,0.8489208633093526,8.06474820143885,178.5,True,True,False,False,False
21,38,83.0,1.7,178.0,163.0,77.0,0.84,29.1,3.8,3,0,28.6,9.5,0.8514851485148515,8.089108910891088,564.0,True,True,False,False,False
22,50,38.6,1.46,174.0,143.0,73.0,0.25,29.8,2.5,3,0,18.0,6.0,0.693069306930693,4.158415841584159,40.1,False,False,False,True,False
23,29,48.3,1.64,186.0,157.0,71.0,0.58,21.2,3.9,3,0,18.0,8.0,0.7478260869565218,5.982608695652174,167.6,True,False,True,False,False
24,39,89.4,1.78,188.0,171.0,74.0,0.27,17.1,2.6,3,0,28.2,9.5,0.8508771929824561,8.083333333333334,195.1,True,True,False,False,False
25,42,85.0,1.64,184.0,155.0,67.0,0.8,25.8,3.9,5,1,31.7,8.0,0.7521367521367521,6.017094017094017,409.2,False,False,True,False,False
26,44,58.9,1.61,181.0,153.0,68.0,0.87,14.4,4.4,4,2,22.8,8.0,0.7522123893805309,6.017699115044247,308.4,False,False,True,False,False
27,59,86.0,1.9,153.0,115.0,70.0,0.69,24.2,4.0,5,1,23.8,3.0,0.5421686746987951,1.6265060240963851,96.5,False,False,False,False,True
28,45,95.8,1.86,172.0,129.0,77.0,0.6,31.4,3.5,5,1,27.6,3.0,0.5473684210526316,1.642105263157895,94.4,False,False,False,False,True
29,33,75.0,1.73,184.0,129.0,60.0,1.0,22.6,4.4,7,2,25.2,3.0,0.5564516129032258,1.6693548387096773,125.2,False,False,False,False,True
30,32,72.4,1.79,185.0,153.0,55.0,1.645,11.1,5.0,6,3,22.5,8.0,0.7538461538461538,6.030769230769231,719.45,False,False,True,False,False
31,20,46.9,1.46,205.0,158.0,72.0,0.89,20.6,3.5,3,1,22.1,7.0,0.6466165413533834,4.526315789473684,188.9,True,False,False,False,False
32,54,46.2,1.6,157.0,135.0,69.0,1.25,14.7,4.3,7,3,18.0,8.0,0.75,6.0,346.5,True,False,True,False,False
33,24,66.5,1.63,198.0,179.0,72.0,0.87,20.9,2.9,5,1,24.9,9.5,0.8492063492063492,8.067460317460318,466.7,True,True,False,False,False
34,38,64.8,1.66,186.0,167.0,60.0,1.22,18.7,3.8,6,2,23.6,9.5,0.8492063492063492,8.067460317460318,637.8,True,True,False,False,False
35,26,59.2,1.63,190.0,172.0,65.0,0.91,24.6,3.3,3,1,22.2,9.5,0.856,8.132,438.1,False,True,False,False,False
36,56,42.0,1.45,167.0,133.0,70.0,1.29,12.6,3.2,7,3,20.0,7.0,0.6494845360824743,4.546391752577319,246.3,True,False,False,False,False
37,35,60.2,1.72,187.0,151.0,68.0,0.37,18.6,2.7,4,1,20.4,6.0,0.6974789915966386,4.184873949579831,93.2,False,False,False,True,False
38,21,79.6,1.73,198.0,163.0,60.0,1.01,19.7,4.2,5,2,26.5,8.0,0.7463768115942029,5.971014492753623,480.0,False,False,True,False,False
39,42,93.2,1.84,183.0,135.0,76.0,0.63,22.1,3.6,5,1,27.5,3.0,0.5514018691588785,1.6542056074766354,97.1,True,False,False,False,True
40,31,58.2,1.6,186.0,167.0,59.0,1.35,9.0,3.8,5,3,22.7,9.5,0.8503937007874016,8.078740157480315,634.7,True,True,False,False,False
41,26,56.5,1.59,199.0,178.0,55.0,1.16,18.3,3.7,7,3,22.3,9.5,0.8541666666666666,8.114583333333332,531.8,False,True,False,False,False
42,43,43.3,1.45,178.0,150.0,85.0,0.81,26.3,3.3,3,0,20.6,6.0,0.6989247311827957,4.193548387096774,147.1,False,False,False,True,False
